,A,L05,LIT7,LITall,AR7,ARall,X7,Xall,Xfull
2025-03-28,15728.614437154583,15562.373108200794,15671.124257152273,15406.049291601865,15633.961007500271,15755.045431540573,15727.666751563911,15702.689923194812,15710.773795482513
2025-03-29,16759.201571166523,16502.560157212232,16735.03862642469,16420.42202286819,16726.696317479356,16570.324801606243,16755.951579732653,16757.585440804487,16762.099237693612
2025-03-30,46568.34518020884,45032.19993051809,46795.29057753889,44528.412060477436,46752.42217983364,43288.56995706532,46561.813840856135,46826.01393064961,46813.453825779376
2025-03-31,41136.34638358067,39168.61583431478,40718.093435782896,39617.26487556241,41077.7037553313,40726.93279118219,41115.316210553916,39676.98403822065,39987.629071725816
2025-04-01,42510.62633374226,40638.83780203784,42611.924064485844,42080.17996440773,42522.873584311325,41807.64234893754,42516.797523542016,42374.50949958188,42257.25613866296
2025-04-02,42631.42910545526,41978.94960107064,42692.086531541274,40346.48171378321,42590.31864951569,43227.77648500995,42636.6084037684,42359.86287377152,42301.057353325086
2025-04-03,40448.625925552806,40661.799242594985,40420.15014885836,37268.572840061875,40366.14333021785,39959.77703269317,40452.678557831336,41038.773207073966,40981.46085418831
2025-04-04,14539.621351153066,14397.593027694593,14550.273145399666,14248.891901386447,14552.242334360157,14560.68320456097,14543.199225923692,14566.345118194517,14551.304107778642
2025-04-05,15782.484690044032,15649.30183913542,15899.761106012596,15588.757133651918,15861.116398174305,16073.98566878627,15785.698194879493,15772.937539432303,15773.52741465776
2025-04-06,40471.26710530368,38437.94733881287,40460.3952894944,36818.399577078584,40390.81927488327,38565.070337066594,40475.11470260884,40914.522158099484,40914.00001923608
2025-04-07,38650.1893742181,37884.33881471008,38659.10722184427,36373.83870989768,38644.85449449495,37767.51611123589,38652.50595191589,38006.975219566026,38075.308577058415
2025-04-08,42343.71153004223,41328.32253944942,42211.5069564811,39141.84912676949,42117.222570185666,41383.69836370657,42342.31760771021,42482.72434639437,42443.07084742868
2025-04-09,39073.133307342214,38701.69751107834,39076.25676730312,40325.29315950079,39064.36768959769,39191.13191760654,39074.14584130834,39211.13337203291,39197.36828346258
2025-04-10,38741.997301417265,39975.67431303674,38809.226655121965,38852.93519346067,38817.624004435536,40410.27015448517,38735.86768291985,40008.08129928546,39956.581944395555
2025-04-11,15581.697579615498,15566.439663473935,15461.261268189017,15478.980387293912,15414.860129721477,15893.401079909832,15589.902712287647,15577.1142221248,15552.562515270622
2025-04-12,14891.260801216526,14792.580896043495,15000.785322466385,14584.288436335626,14894.247268885003,14734.124104869055,14893.460299990671,14891.793821026664,14904.261538563887
2025-04-13,38458.61561760729,38645.36614783349,38418.6273576577,38361.31873156355,38310.204233727454,41978.961812344656,38457.89310317688,39560.70828361681,39230.446673299724
2025-04-14,41802.23502914544,41922.006354595585,41664.44687013783,39950.90101467568,41719.76456951742,41157.617844709035,41800.88436551699,42508.54925576884,42465.964515507265
2025-04-15,37659.05347615687,37262.28117182863,37646.93823075959,34863.234043937715,37669.212076804804,38473.253430731624,37653.647242929736,37357.282001878986,37418.595788167244
2025-04-16,37554.030279188366,37175.93682010431,37551.3554952806,37627.66760776332,37535.07119865334,40213.435772990946,37550.146540473834,38616.04867939165,38738.9546682197
2025-04-17,36609.10735199591,36780.74001392077,36550.63402522992,36116.136437930436,36608.584816560266,39794.03554639356,36665.569483695945,38534.354820605346,38087.697298134706
2025-04-18,13656.0374432065,14170.335142308655,13706.28750676806,13964.251702449672,13654.926362186847,13639.900867217535,13676.995907167458,13693.252191512605,13673.607327133905
2025-04-19,13165.691139479863,13213.191564776569,13139.928132018247,13557.590466522379,13090.821694397018,12939.658167872578,13159.720425159892,13148.789551416905,13165.174468451622
2025-04-20,35915.999861651515,35440.76461922406,36001.18043422982,34781.1895358907,35992.108856521925,35809.00936819492,35910.60121834733,34874.35013196872,34941.87325441124
2025-04-21,35499.74579561821,35497.73176599674,35598.41613346276,34250.74107738116,35544.06506526526,35466.99077222497,35496.029020136775,35707.52317527982,35674.754253273786
2025-04-22,36031.32206155712,35469.91472566975,36061.08995674748,34471.96225170244,35891.13620377289,35820.34937588748,36034.30961240136,35339.04384296412,35340.303082041915
2025-04-23,35852.46921917527,32928.95822518503,36008.85855390389,33363.574677387805,36043.98654110245,35428.40995343354,35842.37078137881,34746.22705094946,34806.551939458484
2025-04-24,33794.733934151554,32623.419082187018,33901.34749459278,32144.53020435121,33813.87843333924,33673.55371523833,33788.11904089821,32904.97494207532,32887.13587409312
2025-04-25,12849.527383423077,13114.144058713711,12742.920606352181,12915.831639782064,12798.632553184887,12595.942969697991,12869.98594202897,12900.40566380552,12957.65077940509
2025-04-26,12876.246626346998,13200.960370976318,12947.233299645013,13220.591526538883,12866.605813046635,12887.481468926173,12890.183315862643,12877.417294826859,12887.625544070439
2025-04-27,35751.93720386806,35193.79266466976,35827.36073314097,35430.95643500969,36000.00189741201,35939.818929114364,35759.430953346644,35638.19186711943,35636.73573972644
2025-04-28,37907.19766157543,37022.187943340745,37827.76436155492,41138.35964499954,37792.822987247324,38738.27434777327,37910.64234408197,38036.776973151835,38006.21015417072
2025-04-29,34015.808010862434,34969.284276203434,34125.92496358169,34521.52159639861,34038.00322686074,36934.36679282788,34011.96505377,34357.18500438358,34343.013820841865
2025-04-30,34519.5064394823,33918.35728109504,33531.88908251498,31849.89408063488,33789.88607446584,33874.30753168758,34524.68124990766,36134.533087199525,36156.42978598062
2025-05-01,36297.043328213746,36963.79646495419,36418.98743097401,36897.91588394866,36464.98650032872,36600.530031832706,36291.128346066704,35983.81626642711,35963.899251095296
2025-05-02,15775.67821312204,16477.737679267695,15652.57584136118,16693.721562625593,15755.395883993817,16461.359429136704,15779.77656611211,15787.985990598312,15788.579887756154
2025-05-03,15327.713713320001,15269.130431856353,15203.52395509608,15150.441930178986,15328.128674901369,15615.489640737582,15331.306066737341,15321.299730854806,15327.868647570158
2025-05-04,38197.32375552346,39247.341118989985,38258.18959504198,35176.60570387009,38343.12557452134,39253.33795966117,38200.27606265032,38568.928006301896,38576.64823813679
2025-05-05,37071.78940850786,39597.324362924635,36784.67026458301,39987.57553663049,37223.89659413492,43661.193236374944,37069.51364211054,38288.42211937154,38276.11456043963
2025-05-06,39293.46535753053,36817.56622365062,39309.35156584749,38428.67489218854,38855.69029816757,37551.65723635786,39291.66247844723,39269.36851624723,39268.453594155246
2025-05-07,38285.59177388482,37349.736668764315,38507.61515473051,39803.2966529237,38285.026980180824,38942.5183001963,38281.72479473359,38459.56186551821,38391.756860910275
2025-05-08,38921.49897192088,39151.910999470594,38828.01370861716,40429.70264685899,38944.64327671443,37570.36711364875,38924.13239598638,38943.190718076854,38880.8443862904
2025-05-09,15255.19932289239,15042.619676746255,15633.69232456054,15873.54151035788,15260.987032460633,15437.244126938263,15243.958300787699,15206.15488448204,15199.689187168276
2025-05-10,15183.632138390984,15207.401665296982,15078.908532105868,15172.364275553971,15272.589742737333,15025.871567923836,15188.963594245526,15135.352127891309,15124.242622941176
2025-05-11,37355.59787235091,37045.008629172495,37346.57007185527,39475.06447325282,37365.594441826885,40886.61518658992,37358.613006353844,37763.38923376289,37792.116654707715
2025-05-12,37582.681363026924,36958.98545462832,37507.954771169316,37582.54704242379,37454.985263742565,37990.117895778014,37576.53172695241,36582.721489212134,36584.58798688965
2025-05-13,37313.9969307825,35774.42764924765,37159.88836406299,38158.19426733637,37071.544282334755,37998.731045292814,37316.34454763208,36669.07032588003,36672.35353928016
2025-05-14,36188.1183993386,35991.12357771163,36148.70306563812,37441.42420788054,36125.806365338234,36253.63565098545,36187.769348483125,36943.8376522198,36839.894195071814
2025-05-15,35731.6665200218,34989.96109995363,36429.294568478144,39761.160101970025,35790.64978646639,37424.39480140044,35732.44039159087,35826.18740082492,35764.91714429908
2025-05-16,14486.06468233879,14788.155519992491,14354.695391708261,14450.888538204677,14517.89211263714,15084.370080114535,14480.2644580749,14589.117329810782,14572.274633148874
2025-05-17,15591.690342967633,15578.63639977008,15650.727334090323,15680.191601911058,15650.938081109045,15666.185874735738,15594.349036962229,15599.496558382005,15603.02938897579
2025-05-18,35972.17020030436,35760.56897955587,35886.75835077598,37922.011567801026,35836.858416028124,36208.656948601776,35974.26175467294,36112.788841978705,36077.47255440322
2025-05-19,34489.59969440442,34001.16050444603,34486.45588298909,32637.828236108424,34625.29009731219,35148.78162784513,34494.525007936536,34369.57328314783,34369.86420132789
2025-05-20,38875.71487880024,38929.26476427356,38931.809543414456,39322.16431745875,38874.97380724732,37368.604854659374,38881.059664439344,37847.244233112135,38052.52451136874
2025-05-21,37087.89734176044,36024.72589973527,36924.53274079241,36522.60716260945,36807.680457646595,37209.099896855034,37073.75018932805,36078.36045288498,36145.19954220867
2025-05-22,35516.224054218095,34152.37127390849,35243.11355588319,37356.60361638859,35210.707394345074,37506.95491968523,35520.73564476272,34253.99086654361,34260.40027220362
2025-05-23,15452.150342058743,14964.704911936902,15396.56130558827,14793.259463810791,15448.842176470725,14920.182145402212,15453.95813973166,15369.604328789075,15406.663022140396
2025-05-24,14301.059967591973,14361.871004530562,14235.490405251707,14195.848868870962,14266.49157753214,14350.95565278484,14293.881196612332,14321.957878717081,14316.781131688815
2025-05-25,35514.64359933762,35169.52943069328,35324.66182675896,35374.66504970305,35293.750466599435,35472.05092551554,35515.60307967681,35677.7254763624,35668.49475777013
2025-05-26,38030.590365283446,37968.96352047278,38285.54340558062,38493.12958659689,38046.14306042711,39280.54431142511,38029.087158665854,38077.23910548642,37853.61824314819
2025-05-27,36774.45416571854,34439.133813864406,36478.2488265299,35626.00920232472,35072.64376033855,35791.9057661586,36737.947774736786,34081.36540427354,34171.58993056536
2025-05-28,35668.70797776392,34811.81835351088,35027.9552845836,37161.89928620871,34988.426794463114,35824.82259372934,35669.66605371667,35338.53825781952,35361.013328659414
2025-05-29,40326.74163589452,37826.605530370995,40169.22024980777,41380.73048112683,40283.897592154586,39037.240270203685,40331.27751383783,38464.764565472884,38437.79728740674
2025-05-30,14368.92494024157,14532.74136400759,14572.779709167065,14776.81581467414,14453.198761984837,14490.062285073389,14357.004965834903,14270.209018022546,14306.432891498253
2025-05-31,15048.553927602785,14880.52344387973,14878.421223886988,14324.383232069105,14798.362176601684,14563.218333777215,15049.24172841398,15077.456202961066,15058.883354407257
2025-06-01,52019.39500123547,49681.49336068878,52728.151825062145,55890.380972660634,51651.599264479824,51285.70665286839,52002.882494540594,52274.048864185825,52178.38832555014
2025-06-02,50106.4575972249,49235.098776878105,49788.84303509576,53522.374338751964,49991.70011266285,48768.09265666723,50107.86224416627,49329.25873353957,49277.62942596709
2025-06-03,47306.149885506966,47676.47982002781,47344.980525631225,52356.098398425675,47234.01199618088,48018.58242385458,47305.99358429304,47157.72746397271,47169.54626986786
2025-06-04,50099.420891046335,48747.44746437479,49667.5225233293,52011.623135890455,50009.67863857696,48311.30499017088,50097.96174969387,49075.442678681626,49025.03342342386
2025-06-05,49190.38729726865,48338.86062918284,49793.62036198815,53398.554616774636,49215.49338287771,50099.395480843115,49187.65929170819,48996.1347872503,49083.274000164194
2025-06-06,21611.24103237882,22628.95821943322,22595.215361148963,29371.222659157433,21743.10664058078,25526.62526965392,21609.827894985556,22171.71865689056,22201.586285897054
2025-06-07,22765.56545726321,21079.97524904208,22361.770683837145,27383.813838392096,22770.700680522135,22094.2128489506,22763.822688106982,21570.16693651387,21588.156413428085
2025-06-08,46135.1294246642,45760.27047690674,45616.84169780318,47257.65535891842,45831.13102800214,46280.82903056783,46128.04212295401,45601.163789132814,45693.21292134979
