日期,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,弃电量/kWh,日初储电量/kWh,日末储电量/kWh,日末规划目标/kWh
2025-06-24,78503.53376574897,49487.79207123416,3100.0998655700196,18625.404438258793,1141.2190824252402,8550.0,8550.0,8550.0
2025-06-25,78888.73872621398,49809.49943661745,14.145278666686599,95.24190485307437,4290.7270205117065,8550.0,8550.0,8550.0
2025-06-26,74859.10117663375,48447.620232942114,56.11116766668186,378.51409367221373,7886.643197110097,8550.0,4468.470620000001,4468.470620000001
2025-06-27,37854.65393626338,21909.78397807038,1.1979750524915289e-11,4.478202164648338e-11,15479.60338332985,4468.470620000001,4461.427727037037,4461.427727037037
2025-06-28,42691.387209333334,23794.89044377797,1.1579626146840383e-11,4.2208982087288405e-11,13876.42533952351,4461.427727037037,8550.0,8550.0
2025-06-29,77889.75798151441,48870.50375664625,7.8654130000194975,53.181989999562155,4636.794861716974,8550.0,8550.0,8550.0
2025-06-30,78427.40345619342,49357.68618351011,95.30970000001662,642.1630073810552,4580.527466288989,8550.0,8550.0,8550.0
2025-07-01,78894.51753827572,49402.44263379287,4727.836941451703,22217.7156121269,447.14855844857925,8550.0,8550.0,8550.0
2025-07-02,76860.21505509054,48195.407274411,3355.186277104082,15138.610818117486,3136.4227082386933,8550.0,8550.0,8550.0
2025-07-03,73938.21699825102,47830.65134257413,5464.777631360027,26773.291908914325,1.4171774864735198e-11,8550.0,4239.6118214814815,4239.6118214814815
2025-07-04,37381.525113191776,21581.99265207078,5750.998529194121,24108.217197842878,11055.724273466676,4239.6118214814815,4433.328736814816,4433.328736814816
2025-07-05,42383.48508613334,23591.08478134925,5053.443314178602,22674.964479974366,11180.906208733339,4433.328736814816,8550.0,8550.0
2025-07-06,78374.17132320002,49381.115973341,5953.000783905388,31264.048690175958,167.4730928000199,8550.0,8550.0,8550.0
2025-07-07,78086.41860022963,49163.48122198984,3204.3547228181155,14917.258041848021,3645.236267119362,8550.0,8550.0,8550.0
2025-07-08,88075.32127950124,56344.76881037293,951.3410149696497,4341.7257681501715,9481.700559926769,8550.0,8550.0,8550.0
2025-07-09,90658.23349030963,58169.50412622655,147.84233846667695,999.7090835110946,13137.616979443668,8550.0,8550.0,8550.0
2025-07-10,87426.5521927442,57116.78870993761,257.6577336666797,1599.6783801294687,14826.791308055166,8550.0,5262.271829703705,5262.271829703705
2025-07-11,46472.66024856297,27978.454488860065,56.57365562963932,120.9544757361791,11410.381851475735,5262.271829703705,5127.221900666667,5127.221900666667
2025-07-12,50380.48289340001,29534.39605321604,127.45448713581163,272.4976934963846,12931.808112397546,5127.221900666667,8550.0,8550.0
2025-07-13,90690.1187781387,58318.7125703085,216.77406726668607,1463.1179194713263,18280.78291058902,8550.0,8550.0,8550.0
2025-07-14,90766.28940572035,58172.7844023333,257.10014640001174,1543.5871783382265,15964.295653110665,8550.0,8550.0,8550.0
2025-07-15,93872.04896438737,60628.17018053724,19.681410666684304,132.52141676113348,17799.21294034672,8550.0,8550.0,8550.0
2025-07-16,90150.08708306172,57824.06224713323,73.40355633334849,495.41169528955027,14724.19046423133,8550.0,8550.0,8550.0
2025-07-17,83698.28628472428,54232.554904759556,22.560191000017507,152.42793049156623,11271.602929031711,8550.0,4722.930185185186,4722.930185185186
2025-07-18,44620.68190570371,26797.42782482793,1.0742517986273015e-11,3.349781785288997e-11,11146.568685329683,4722.930185185186,4379.229003333335,4379.229003333335
2025-07-19,49592.9706269177,28812.535429388874,8.93152218850446e-12,2.9053734529327356e-11,15291.54017996223,4379.229003333335,8550.0,8550.0
2025-07-20,85003.76082353671,54183.654583711555,1.2697176643428065e-11,4.082906224223137e-11,9270.220168916107,8550.0,8550.0,8550.0
2025-07-21,84350.2282602597,53398.606072233015,11.91588566668358,83.12521841072895,6399.471650544705,8550.0,8550.0,8550.0
2025-07-22,84640.78866484505,53555.5110259605,83.0492623333436,560.2957461052022,6976.9691601782015,8550.0,8550.0,8550.0
2025-07-23,84732.14860629666,53523.1142142414,53.89012466668192,364.60515962187657,6431.991321635,8550.0,8550.0,8550.0
2025-07-24,78986.83618303292,51009.87759417436,19.592866666683946,131.9827174667336,6475.410602138209,8550.0,4005.4379496296315,4005.4379496296315
2025-07-25,42415.40518467489,25389.205676761565,7.403855306620244e-12,3.178004526205313e-11,13964.336136046593,4005.4379496296315,3372.90977,3372.90977
2025-07-26,49201.29738787654,28417.75979270346,7.123523992902392e-12,2.8238261118307406e-11,12362.52578508733,3372.90977,8550.0,8550.0
2025-07-27,83405.19689294737,52437.058433309656,144.41431453001616,741.6773597333786,5450.829659821791,8550.0,8550.0,8550.0
2025-07-28,83433.0216277819,52720.010114652934,2.454036973631446e-11,8.781989002670797e-11,1297.5502157429066,8550.0,8550.0,8550.0
2025-07-29,88904.48378531184,56557.79497081382,74.01063220001629,502.00487148865983,9118.689828282715,8550.0,8550.0,8550.0
2025-07-30,87826.05438467601,55761.13348095063,1.5344614467949214e-11,5.01615045056525e-11,9922.378797259154,8550.0,8550.0,8550.0
2025-07-31,81654.14533949301,52714.77133837824,0.5206133333501448,3.5112766267254276,7227.002024645803,8550.0,4710.807421777779,4710.807421777779
2025-08-01,43266.3139770321,25802.77584698954,1.1083578499437863e-11,4.015348098462823e-11,19911.562098984487,4710.807421777779,4265.425736000001,4265.425736000001
2025-08-02,47721.757108800004,27626.799167302823,1.0020428931056813e-11,3.5758527694440546e-11,19434.39046486758,4265.425736000001,8550.0,8550.0
2025-08-03,81358.92228305021,51422.53030557902,150.1923767333435,1012.462849180625,15244.602920019515,8550.0,8550.0,8550.0
2025-08-04,74304.33768966091,47184.31667059295,32.47614026667946,218.70232835177458,5278.8317988967565,8550.0,8550.0,8550.0
2025-08-05,76494.60408001646,48549.54232380232,1.298339213917643e-11,3.7833725485825196e-11,7694.08458411635,8550.0,8550.0,8550.0
2025-08-06,77970.92002092676,49189.07323752159,2.2673862787314647e-11,8.343507307273512e-11,6127.581347867339,8550.0,8550.0,8550.0
2025-08-07,73498.32754219917,47993.86222076223,11.354189333347634,76.71458023071003,12074.682757189697,8550.0,3429.8340362222225,3429.8340362222225
2025-08-08,41890.18411110371,24912.830609503617,1.0417000595452919e-11,4.561110844569782e-11,23670.908206591477,3429.8340362222225,3224.383669555555,3224.383669555555
2025-08-09,47371.1286185786,27030.769796917335,5.218048215738236e-12,2.486236683196807e-11,19969.450580999073,3224.383669555555,8550.0,8550.0
2025-08-10,75892.98513876626,48244.13544292895,1.3736567439082137e-11,4.366445072179203e-11,7084.365706501888,8550.0,8550.0,8550.0
2025-08-11,77478.99967171112,48895.14908700364,108.33172913334825,730.2795737746064,9214.356368820818,8550.0,8550.0,8550.0
2025-08-12,76402.93781790618,48315.893767513466,41.705894666682376,280.7081213632207,5059.818079935873,8550.0,8550.0,8550.0
2025-08-13,76993.09958765926,48729.499713847144,60.83953893334697,411.398140387741,7336.7737755507405,8550.0,8550.0,8550.0
2025-08-14,72495.66791183787,47361.792485270584,36.86957306667745,250.58467595110358,8546.462634826446,8550.0,3216.1905196296298,3216.1905196296298
