,A,L05,L6_plan,L6_adj,L6_both
2025-08-15,24365.9387671481,24207.56016564609,24186.365883201237,24113.0340195514,23933.46113560453
2025-08-16,24762.387866495126,23885.847079602932,24231.363746697545,24555.582562558557,24024.55844276098
2025-08-17,46324.965459949366,45224.60957403724,45978.06940878501,45952.20134610369,45610.8308380989
2025-08-18,44523.41532443818,44183.73974757746,44540.096400850016,44403.148235022825,44466.245427795366
2025-08-19,46005.862417220684,45599.96971852913,46104.47902883339,45938.16441907416,46182.75442069825
2025-08-20,56519.67087345347,55582.54455886882,55874.6414007222,59306.256768119325,58505.07816500548
2025-08-21,46793.7185449197,46903.219624334895,46732.280713066204,46124.68592130537,45955.46129588099
2025-08-22,26042.731221058522,25806.25806048206,25789.51062889193,25908.416576744956,25655.195984578357
2025-08-23,24461.91999657719,24174.401764902832,24354.324541446036,24277.408302245567,24169.81284711441
2025-08-24,44791.187709000005,45288.05978297696,45161.77815884469,44916.20302497621,45315.433925783225
2025-08-25,56430.807327315735,53358.34600788902,55287.222396305835,57541.67030246058,56398.085371450696
2025-08-26,45665.62079209282,46067.79249119841,45768.60564749772,46935.5358716129,46567.62718222072
2025-08-27,52729.27954777891,50172.01378667928,52061.7023512256,52238.10834219066,51560.269346831345
2025-08-28,50454.35495740234,49785.533399644584,49752.6074024972,50341.03478103304,49627.134912370035
2025-08-29,24111.559368715072,24029.236364562377,24017.637361980393,23925.587221446607,23831.66521471193
2025-08-30,24546.413678125344,24492.851425052682,24469.89504920119,24337.56587092202,24249.332278263435
2025-08-31,52650.2018657146,52478.424645650666,52444.85312864606,51667.681680162685,51430.997744226785
2025-09-01,39630.955821522264,38386.24739429531,39050.9528534029,39458.49489851252,38877.70896162435
2025-09-02,40393.06083252977,39127.419623266665,40343.3812160563,39421.24330901237,39364.189114574256
2025-09-03,40757.5238468565,40658.36108947481,40682.16102309742,41234.24694938632,41147.97911378345
2025-09-04,39756.8136942985,40198.51337687565,40009.22250376349,40657.83477959354,40793.45678668655
2025-09-05,19497.288609248706,19660.476913571583,19499.448455925376,18747.25608837233,18749.415935049
2025-09-06,18611.966285302,19174.32501368152,18664.198691713507,17868.124172694985,17920.356579106487
2025-09-07,40256.79504193238,39446.803860007785,39808.23674231011,39313.75274619528,39135.39363874874
2025-09-08,42337.27081066707,42756.67327612017,42421.53774009215,43303.518360960705,42779.23292230709
2025-09-09,41369.207668341674,40124.084744930115,40941.610712183974,41257.71962822289,40722.96952162849
2025-09-10,47222.1498224818,45626.35724219557,47153.229630721304,48651.19390365925,48484.70265072518
2025-09-11,41083.20912149765,41560.44331422936,41207.59792093185,39803.22829806601,39927.617097500195
2025-09-12,17779.302589655992,17715.125227788754,17758.745475445623,17721.025859950358,17700.46874573999
