,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-05-04,39023.25209594961,37640.49390536775,38468.024863552295,39132.47815872899,36577.76815737984,37515.252962545426,38197.32375552346,39247.341118989985
2025-05-05,39797.583695978945,37238.69821495812,39552.86942535447,39654.68087373485,37717.379167642466,38368.95323438732,37071.78940850786,39597.324362924635
2025-05-06,38208.969483667795,39521.77450219398,37399.678576804385,37407.52576733155,39293.09134908851,35575.21676164291,39293.46535753053,36817.56622365062
2025-05-07,37887.17912203526,38439.25132596709,37928.10302168081,37844.02074398034,38474.291345427315,38090.371044592124,38285.59177388482,37349.736668764315
2025-05-08,38969.78103782004,38482.76266595149,38382.17401410403,39033.039388471865,37589.861468760624,37277.07197929646,38921.49897192088,39151.910999470594
2025-05-09,15173.996094306487,15275.261096514367,15120.855236662279,15106.580098326944,15338.093848961966,15032.405942859645,15255.19932289239,15042.619676746255
2025-05-10,15139.336216780734,15170.699840089803,15121.955868881641,15136.718128839642,15150.88069523481,15099.518636085559,15183.632138390984,15207.401665296982
2025-05-11,37127.22268184568,37190.09821805003,36959.400598696644,37130.95714311114,36908.12957822457,36674.75822908973,37355.59787235091,37045.008629172495
2025-05-12,36602.11413127365,37720.312271347924,36629.503658888425,36795.71241454735,37983.14124624158,36777.224395338155,37582.681363026924,36958.98545462832
2025-05-13,36038.72321808785,37406.25136430694,36105.9894508098,35945.399032542686,37707.114597104824,36291.689351446315,37313.9969307825,35774.42764924765
2025-05-14,36100.21037753241,36737.54559460501,36556.27655351154,36105.07914988757,36363.242497783045,36199.06740912755,36188.1183993386,35991.12357771163
2025-05-15,35741.195541835405,35812.21280209141,35717.067445315784,35624.79166693051,36494.78437835561,35498.71484434101,35731.6665200218,34989.96109995363
2025-05-16,14344.246222392614,14435.005551590039,14293.187091643875,14347.463625261455,14395.785785202914,14290.960844073978,14486.06468233879,14788.155519992491
2025-05-17,15589.06837738647,15538.295382528206,15530.110322267108,15619.119600195656,15374.356176546029,15376.854609965623,15591.690342967633,15578.63639977008
2025-05-18,35830.014634943116,35909.91345544857,35705.23775881096,35821.925610638726,36114.98649303173,35791.523843861156,35972.17020030436,35760.56897955587
2025-05-19,34346.82255097585,34572.63257892879,34346.227735619104,34323.671856210785,34820.74802134365,34366.01812139264,34489.59969440442,34001.16050444603
2025-05-20,39477.808960541515,38517.53316068091,38553.87561841268,39478.324427911015,38122.17580025111,38754.56824345368,38875.71487880024,38929.26476427356
2025-05-21,36075.145076317,37039.64996889924,36141.569425526664,36003.66465157384,37052.78646136273,35935.868319691755,37087.89734176044,36024.72589973527
2025-05-22,34309.8819930283,35599.97356205826,34344.15182664968,34267.798895945314,35752.37367678989,34521.22638391354,35516.224054218095,34152.37127390849
2025-05-23,15332.80764915597,15337.100913461334,15217.75822055856,15313.2716551169,15163.330926470924,15024.452239529079,15452.150342058743,14964.704911936902
2025-05-24,14267.468389768748,14305.84937371181,14272.257795888585,14300.00444295851,14327.78703642374,14326.731511790276,14301.059967591973,14361.871004530562
