日期,动态分时段费用,动态单λ费用,λ_am,λ_pm
2025-09-07,39268.91587860468,39446.80386000778,0.2,0.6
2025-09-08,42199.379281988586,42655.81761464778,0.2,0.6
2025-09-09,40753.18061762269,40189.23692803471,0.2,0.6
2025-09-10,47097.78976293502,46287.30082558286,0.4,1.0
2025-09-11,41555.9985161062,41560.44331422935,0.5,0.2
2025-09-12,17653.639310884544,17715.125227788758,0.6,0.0
2025-09-13,20062.27333156196,19934.606223512452,0.5,0.2
2025-09-14,41086.670754596795,41611.487165163926,0.6,0.0
2025-09-15,40128.6601059866,39634.92161604566,0.5,0.2
2025-09-16,43159.26745381474,43154.11235707394,0.5,0.2
2025-09-17,46166.57488260654,46416.72074599972,0.6,0.0
2025-09-18,42620.77614585981,41765.553370058486,0.5,0.2
2025-09-19,19372.772979176054,19376.82010650385,0.2,0.2
2025-09-20,20372.044010427333,20361.867612276623,0.2,0.2
2025-09-21,41492.754222399984,41471.61459285224,0.2,0.2
2025-09-22,47267.63920212505,46756.481999502124,0.2,0.4
2025-09-23,44828.85650635946,44981.37085660163,0.2,0.0
2025-09-24,49444.38062186529,47976.1637098455,0.6,0.0
2025-09-25,43321.8840469031,43511.06535429457,0.6,0.4
2025-09-26,19896.88589246644,19915.596611021265,0.6,0.4
2025-09-27,20763.547438079604,20868.240661367818,0.6,0.4
2025-09-28,44501.429510704176,45346.08355633818,0.6,0.4
2025-09-29,53330.7184622825,53150.61979722468,0.6,0.4
2025-09-30,48041.79849980535,47838.64450674997,0.6,0.4
2025-10-01,38306.01772299473,38064.55121328696,0.2,0.4
2025-10-02,41176.52051202412,41210.95003021667,0.2,0.4
2025-10-03,16326.574201254343,16283.159031130872,0.2,0.4
2025-10-04,17939.46391847166,17756.86587956375,0.2,0.4
2025-10-05,40255.62873146493,40498.51373175543,0.2,0.4
2025-10-06,43107.83443759187,43621.20964832872,0.2,0.8
2025-10-07,41913.067934026156,41529.65176818804,0.0,0.8
2025-10-08,46914.6415933289,47498.31836834714,0.4,0.0
2025-10-09,45862.08782924492,45938.82739165024,0.5,1.0
2025-10-10,18598.168784808222,18470.617234797377,0.5,1.0
2025-10-11,17940.849828298848,17933.69859239211,0.4,1.0
2025-10-12,44434.45675316421,42828.5603357943,0.0,1.0
2025-10-13,45671.30801537332,46211.7709512298,1.0,0.0
2025-10-14,48557.10235892865,50380.51525398242,1.0,0.0
2025-10-15,46978.980870001884,46649.01201000941,1.0,0.0
2025-10-16,45804.80260842804,46441.57326799095,0.8,0.0
2025-10-17,18235.27933320064,17042.51080007839,0.8,0.0
2025-10-18,18637.41651738004,18505.36362721526,0.8,0.0
2025-10-19,45644.061257343536,46638.820628682166,0.8,0.0
2025-10-20,46049.66090779983,46966.12006957425,0.5,0.2
2025-10-21,45892.00488739049,45142.48669900751,0.5,0.2
2025-10-22,49784.01437793208,49942.186721718565,0.5,0.2
2025-10-23,50433.22256352764,50084.44317732306,0.6,0.4
2025-10-24,18296.757227501374,18502.717346899262,0.5,0.2
2025-10-25,20520.849454936302,20439.80948966477,0.6,0.0
2025-10-26,50065.63572558176,49939.372789464745,0.6,0.4
2025-10-27,45781.85815572335,45634.0533621549,0.6,0.4
2025-10-28,46916.050896783374,46468.94727022399,0.2,0.4
2025-10-29,47512.10060985674,48503.94996431295,0.5,0.0
2025-10-30,51478.96574084796,50691.76333549948,0.8,0.0
2025-10-31,19411.504797881105,19423.727464086824,1.0,0.2
2025-11-01,18999.381340199427,18974.92577835756,1.0,0.2
2025-11-02,48252.81505958292,48122.53825420251,0.5,0.0
2025-11-03,48078.82277446501,48350.120086185874,0.5,0.0
