,A,L05,L6pred,L6pred_pure
2025-05-30,14368.92494024157,14532.74136400759,14294.281210004538,14306.43289149825
2025-05-31,15048.553927602785,14880.52344387973,14994.656809501124,15058.883354407255
2025-06-01,52019.39500123547,49681.49336068878,51375.11758869123,52178.38832555014
2025-06-02,50106.4575972249,49235.098776878105,48988.821326047466,49277.62942596709
2025-06-03,47306.149885506966,47676.47982002781,47229.270104233765,47169.54626986787
2025-06-04,50099.420891046335,48747.44746437479,48589.90038782493,49025.03342342386
2025-06-05,49190.38729726865,48338.86062918284,48883.76142966258,49083.2740001642
2025-06-06,21611.24103237882,22628.95821943322,22426.512424031032,22201.586285897058
2025-06-07,22765.56545726321,21079.97524904208,21347.768218585254,21588.15641342809
2025-06-08,46135.1294246642,45760.27047690674,45467.26925291478,45693.21292134979
2025-06-09,48979.269931896764,48573.64152352815,48343.04843218763,48504.674519255386
2025-06-10,49347.61602136906,48281.22055322928,48882.92703018779,49131.21764800417
2025-06-11,52346.27196333651,53221.51178012431,53180.87830417295,53183.484969862555
2025-06-12,50196.23578347172,50760.48015922558,50426.876957349785,50422.37319898885
2025-06-13,20348.13337965479,20315.158003617198,20308.554498022128,20312.77494830386
2025-06-14,21579.41496830643,21794.084490457448,21599.876374971893,21578.586756351207
2025-06-15,48006.161117151954,47480.898100451464,47591.93670863743,47926.92697889406
2025-06-16,54320.93015027473,51165.72322639685,51584.5064236322,52084.65244465119
2025-06-17,52142.264604602286,52634.11393971554,54205.35207456867,54173.49060776875
2025-06-18,48157.21541497225,48495.04405345429,47994.44764198971,47736.74569961792
2025-06-19,48384.793208338335,47953.330251709165,47629.62596261466,47993.434127489236
2025-06-20,19219.48870365695,19183.726691468964,19212.750278455103,19223.334974389247
2025-06-21,20063.702051392087,18840.639269954114,19289.157014201206,19603.759925280232
2025-06-22,49185.319243705395,48929.45178299254,48613.880582479425,48555.485949203634
2025-06-23,48571.075255540556,46635.75513643556,48638.95374220034,48527.0844292668
2025-06-24,53336.790554090665,54535.70213801727,53711.77632917795,53798.3830208718
2025-06-25,49188.861858831995,47442.42288831693,48493.777175029034,48726.32087633615
2025-06-26,48072.38641469698,46166.97126715295,46733.24502418897,47077.33726426422
2025-06-27,20044.54583821882,19582.1063284422,19859.6943370774,20005.480081244514
2025-06-28,19632.917518004306,19468.412507117268,19553.42753891646,19521.698421770183
2025-06-29,49519.03025645225,47389.65733569431,48313.54396562312,48724.39057438195
2025-06-30,47311.15365267365,46796.270547211556,46698.93867750023,46840.40246391172
2025-07-01,54284.28065221496,54048.07207570435,52945.85987349448,53429.628547455875
2025-07-02,49200.819789174995,53807.71914374958,53096.870635234,51729.929333737644
2025-07-03,54800.00655716888,56180.84927954604,55263.905628827335,55091.942788546505
2025-07-04,27589.891039789287,26416.293284480987,25985.76308583113,26864.604540629683
2025-07-05,26590.43427145017,25834.921749558365,25937.7115009106,26034.210796960833
2025-07-06,56968.14182830856,57233.88366785583,56801.78279806438,56619.035341007024
2025-07-07,50672.66132625138,51627.842979420595,51539.12704919752,51240.536181510644
2025-07-08,54417.44383495839,55042.536868997224,54550.89888626068,54586.552118044005
2025-07-09,52908.58461242598,52488.26661840029,52949.58801383455,53011.568435876594
2025-07-10,52661.08553448462,52942.44388449504,53995.13379952471,54030.23454237771
2025-07-11,25892.409661615617,25503.816710578638,26032.738094575325,26147.29960505511
