日期,主方案紧急量/kWh,官方三点紧急量/kWh
2025-07-07,2699.0987552059023,3954.4550911973374
2025-07-08,438.13716383101035,639.7000315686837
2025-07-09,147.84233846667928,147.84233846668914
2025-07-10,257.65773366668094,178.90005646669235
2025-07-11,9.631406783228158e-12,70.60543640401008
2025-07-12,1.4176215756833699e-11,60.8512682785664
2025-07-13,216.7740672666881,139.0230405333583
2025-07-14,162.6827442000173,162.68274420001677
2025-07-15,19.68141066668186,5.46496293335889
2025-07-16,51.0977167333452,51.097716733351305
2025-07-17,20.884266400017893,20.884266400021303
2025-07-18,1.0945910844384343e-11,1.530864324195136e-11
2025-07-19,1.1216805262392882e-11,1.3295142764491175e-11
2025-07-20,1.2625678280642205e-11,1.7464474311168487e-11
2025-07-21,11.915885666683762,11.915885666681303
2025-07-22,83.04926233334558,83.04926233334851
2025-07-23,53.89012466668039,53.890124666686404
2025-07-24,19.59286666668399,19.59286666668475
2025-07-25,7.66053886991358e-12,1.2310819030858511e-11
2025-07-26,8.362310843779142e-12,1.0328377042512216e-11
2025-07-27,15.600300000015324,15.600300000018875
2025-07-28,2.048849978564249e-11,1.901767632261908e-11
2025-07-29,74.01063220001727,74.01063220001741
2025-07-30,1.658717607710969e-11,1.7471968316584707e-11
2025-07-31,0.5206133333544143,0.5206133333504077
2025-08-01,1.0794920513035322e-11,1.4155787653180596e-11
2025-08-02,1.027977702960925e-11,1.20525811553307e-11
2025-08-03,150.19237673334842,140.28639160001745
2025-08-04,32.47614026668657,32.47614026668396
2025-08-05,1.645084068968572e-11,1.7995382961544237e-11
2025-08-06,1.787636705330442e-11,1.8479884289490656e-11
2025-08-07,11.354189333351751,11.354189333350185
2025-08-08,1.2532253013119998e-11,1.490407797177795e-11
2025-08-09,9.346301510504418e-12,1.1334044813793298e-11
2025-08-10,1.7498003046512167e-11,2.2873702931747175e-11
2025-08-11,108.33172913335343,108.33172913335282
2025-08-12,17.7492100666895,41.70589466668706
2025-08-13,60.8395389333489,60.839538933350305
