日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,w1_L(d-7)_平滑,w2_L(d-14)_平滑,w3_典型日_平滑,u1_P(d-1)_平滑,u2_P(d-2)_平滑,u3_典型日_平滑
2025-06-22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.04000000000000001,0.0,0.9600000000000001
2025-06-23,1.0,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.0,0.05333333333333334,0.0,0.9466666666666667
2025-06-24,1.0,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.0,0.08000000000000002,0.0,0.92
2025-06-25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09333333333333334,0.0,0.9066666666666666
2025-06-26,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09333333333333334,0.0,0.9066666666666666
2025-06-27,1.0,0.0,0.0,0.0,0.0,1.0,0.9866666666666667,0.013333333333333334,0.0,0.09333333333333334,0.0,0.9066666666666666
2025-06-28,1.0,0.0,0.0,0.0,0.0,1.0,0.9733333333333333,0.02666666666666667,0.0,0.09333333333333334,0.0,0.9066666666666666
2025-06-29,1.0,0.0,0.0,0.2,0.0,0.8,0.9600000000000001,0.04000000000000001,0.0,0.09333333333333334,0.0,0.9066666666666666
2025-06-30,1.0,0.0,0.0,0.2,0.0,0.8,0.9466666666666667,0.05333333333333334,0.0,0.09333333333333334,0.0,0.9066666666666666
2025-07-01,1.0,0.0,0.0,0.4,0.0,0.6,0.92,0.08000000000000002,0.0,0.08000000000000002,0.0,0.9199999999999999
2025-07-02,1.0,0.0,0.0,0.2,0.0,0.8,0.9066666666666666,0.09333333333333334,0.0,0.06666666666666667,0.0,0.9333333333333333
2025-07-03,1.0,0.0,0.0,0.0,0.0,1.0,0.8933333333333333,0.10666666666666667,0.0,0.06666666666666667,0.0,0.9333333333333333
2025-07-04,0.8,0.2,0.0,0.0,0.0,1.0,0.88,0.12000000000000001,0.0,0.06666666666666667,0.0,0.9333333333333333
2025-07-05,0.8,0.2,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.9333333333333333
2025-07-06,0.8,0.2,0.0,0.0,0.0,1.0,0.8533333333333334,0.14666666666666667,0.0,0.06666666666666667,0.0,0.9333333333333333
2025-07-07,0.8,0.2,0.0,0.0,0.0,1.0,0.84,0.16000000000000003,0.0,0.05333333333333334,0.0,0.9466666666666667
2025-07-08,0.6,0.4,0.0,0.0,0.0,1.0,0.8266666666666667,0.17333333333333334,0.0,0.04000000000000001,0.0,0.9599999999999999
2025-07-09,0.8,0.2,0.0,0.0,0.0,1.0,0.8133333333333334,0.18666666666666668,0.0,0.013333333333333334,0.013333333333333334,0.9733333333333333
2025-07-10,0.8,0.2,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.013333333333333334,0.02666666666666667,0.9600000000000001
2025-07-11,0.8,0.2,0.0,0.0,0.0,1.0,0.8,0.2,0.0,0.05333333333333334,0.02666666666666667,0.92
2025-07-12,0.8,0.2,0.0,0.0,0.0,1.0,0.8133333333333332,0.18666666666666665,0.0,0.09333333333333332,0.02666666666666667,0.8800000000000001
2025-07-13,0.8,0.2,0.0,0.0,0.0,1.0,0.8266666666666667,0.17333333333333334,0.0,0.13333333333333333,0.02666666666666667,0.8400000000000001
2025-07-14,0.8,0.2,0.0,0.0,0.0,1.0,0.84,0.16,0.0,0.18666666666666665,0.02666666666666667,0.7866666666666667
2025-07-15,0.8,0.2,0.0,0.0,0.0,1.0,0.8533333333333334,0.14666666666666667,0.0,0.24000000000000002,0.02666666666666667,0.7333333333333333
2025-07-16,0.8,0.2,0.0,0.0,0.2,0.8,0.88,0.12000000000000001,0.0,0.28,0.04000000000000001,0.68
2025-07-17,0.8,0.2,0.0,0.2,0.2,0.6,0.8933333333333333,0.10666666666666667,0.0,0.32,0.05333333333333334,0.6266666666666667
2025-07-18,1.0,0.0,0.0,0.6,0.0,0.4,0.9066666666666666,0.09333333333333334,0.0,0.36000000000000004,0.06666666666666667,0.5733333333333335
2025-07-19,1.0,0.0,0.0,0.6,0.0,0.4,0.92,0.08000000000000002,0.0,0.4,0.08000000000000002,0.52
2025-07-20,1.0,0.0,0.0,0.6,0.0,0.4,0.9333333333333333,0.06666666666666667,0.0,0.44,0.09333333333333334,0.46666666666666673
2025-07-21,1.0,0.0,0.0,0.8,0.0,0.2,0.9466666666666667,0.05333333333333334,0.0,0.48000000000000004,0.10666666666666667,0.4133333333333333
2025-07-22,1.0,0.0,0.0,0.8,0.0,0.2,0.9466666666666668,0.05333333333333334,0.0,0.52,0.10666666666666667,0.3733333333333333
2025-07-23,1.0,0.0,0.0,0.6,0.2,0.2,0.9466666666666667,0.05333333333333334,0.0,0.56,0.10666666666666667,0.3333333333333333
2025-07-24,1.0,0.0,0.0,0.6,0.2,0.2,0.9466666666666667,0.05333333333333334,0.0,0.6,0.09333333333333334,0.30666666666666664
